simulation_mode,simulation_id,config_id,plan,challenge_strategy,challenge_source_variant_name,challenge_leverage_factor,funded_strategy,funded_source_variant_name,funded_leverage_factor,attempts,first_attempt_pass,eventual_pass,avg_attempt_pass_proxy,resets,challenge_days_to_pass,challenge_days_total,challenge_timeout_count,last_challenge_status,last_challenge_failure_reason,funded_status,funded_failure_reason,funded_days,payouts,at_least_one_payout,realized_payout_value_usd,funded_profit_usd,subscription_cost_usd,reset_cost_usd,activation_fee_usd,total_cost_usd,net_profit_usd,total_days,net_profit_per_day
block_bootstrap_business,6,standard__nominal_x1.2__sizing_3state_x1.2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,19.0,19,0,pass,,survived,,60,4,True,4000.0,4344.599999999984,31.03333333333333,0.0,149.0,180.03333333333333,3819.9666666666667,79,48.35400843881857
block_bootstrap_business,7,standard__nominal_x1.2__sizing_3state_x1.2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2,False,True,0.5,1,45.0,45,0,pass,,breach,trailing_drawdown,25,2,True,2000.0,284.99999999998545,73.5,49.0,149.0,271.5,1728.5,70,24.692857142857143
block_bootstrap_business,8,standard__nominal_x1.2__sizing_3state_x1.2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2,False,True,0.5,1,40.0,40,0,pass,,breach,trailing_drawdown,25,3,True,3000.0,1252.2000000000044,65.33333333333333,49.0,149.0,263.3333333333333,2736.6666666666665,65,42.1025641025641
block_bootstrap_business,9,standard__nominal_x1.2__sizing_3state_x1.2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,16.0,16,0,pass,,breach,trailing_drawdown,20,0,False,0.0,-2104.7999999999884,26.133333333333333,0.0,149.0,175.13333333333333,-175.13333333333333,36,-4.864814814814815
block_bootstrap_business,0,standard__nominal_x1.2__nominal,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,5,False,True,0.2,4,99.0,99,0,pass,,breach,trailing_drawdown,5,0,False,0.0,-2528.0,161.7,196.0,149.0,506.7,-506.7,104,-4.872115384615385
block_bootstrap_business,1,standard__nominal_x1.2__nominal,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,3,False,True,0.3333333333333333,2,26.0,26,0,pass,,survived,,60,4,True,4000.0,4301.0,42.46666666666667,98.0,149.0,289.4666666666667,3710.5333333333333,86,43.14573643410853
block_bootstrap_business,2,standard__nominal_x1.2__nominal,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,2,False,True,0.5,1,65.0,65,0,pass,,breach,trailing_drawdown,59,4,True,4000.0,2374.5,106.16666666666667,49.0,149.0,304.1666666666667,3695.8333333333335,124,29.80510752688172
block_bootstrap_business,3,standard__nominal_x1.2__nominal,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,3,False,True,0.3333333333333333,2,49.0,49,0,pass,,survived,,60,13,True,13000.0,12285.5,80.03333333333333,98.0,149.0,327.0333333333333,12672.966666666667,109,116.265749235474
block_bootstrap_business,4,standard__nominal_x1.2__nominal,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,2,False,True,0.5,1,42.0,42,0,pass,,breach,trailing_drawdown,22,7,True,7000.0,4498.5,68.6,49.0,149.0,266.6,6733.4,64,105.209375
block_bootstrap_business,5,standard__nominal_x1.2__nominal,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,1,True,True,1.0,0,14.0,14,0,pass,,breach,trailing_drawdown,9,0,False,0.0,-1431.5,22.866666666666667,0.0,149.0,171.86666666666667,-171.86666666666667,23,-7.472463768115943
block_bootstrap_business,6,standard__nominal_x1.2__nominal,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,3,False,True,0.3333333333333333,2,46.0,46,0,pass,,breach,trailing_drawdown,7,1,True,1000.0,-929.0,75.13333333333333,98.0,149.0,322.1333333333333,677.8666666666667,53,12.78993710691824
block_bootstrap_business,7,standard__nominal_x1.2__nominal,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,3,False,True,0.3333333333333333,2,53.0,53,0,pass,,survived,,60,5,True,5000.0,5847.0,86.56666666666666,98.0,149.0,333.56666666666666,4666.433333333333,113,41.295870206489674
block_bootstrap_business,8,standard__nominal_x1.2__nominal,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,1,True,True,1.0,0,24.0,24,0,pass,,breach,trailing_drawdown,60,6,True,6000.0,3968.5,39.2,0.0,149.0,188.2,5811.8,84,69.18809523809524
block_bootstrap_business,9,standard__nominal_x1.2__nominal,standard,nominal_x1.2,nominal,1.2,nominal,nominal,1.0,4,False,True,0.25,3,77.0,77,0,pass,,survived,,60,10,True,10000.0,10555.5,125.76666666666668,147.0,149.0,421.76666666666665,9578.233333333334,137,69.91411192214112
block_bootstrap_business,0,standard__nominal_x1.5__sizing_3state,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,9.0,9,0,pass,,survived,,60,7,True,7000.0,6669.5,14.7,0.0,149.0,163.7,6836.3,69,99.0768115942029
block_bootstrap_business,1,standard__nominal_x1.5__sizing_3state,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,11.0,11,0,pass,,survived,,60,4,True,4000.0,3686.0,17.966666666666665,0.0,149.0,166.96666666666667,3833.0333333333333,71,53.98638497652582
block_bootstrap_business,2,standard__nominal_x1.5__sizing_3state,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,4,False,True,0.25,3,28.0,28,0,pass,,survived,,60,6,True,6000.0,5783.0,45.733333333333334,147.0,149.0,341.73333333333335,5658.266666666666,88,64.29848484848485
block_bootstrap_business,3,standard__nominal_x1.5__sizing_3state,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,3,False,True,0.3333333333333333,2,9.0,9,0,pass,,survived,,60,4,True,4000.0,4358.5,14.7,98.0,149.0,261.7,3738.3,69,54.17826086956522
block_bootstrap_business,4,standard__nominal_x1.5__sizing_3state,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2,False,True,0.5,1,15.0,15,0,pass,,breach,trailing_drawdown,44,3,True,3000.0,1502.5,24.5,49.0,149.0,222.5,2777.5,59,47.07627118644068
