phase,symbol,config_name,detail,seconds
writing_exports,MES,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_false,checkpoint,6.121108799939975
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,,11.549864700064063
writing_exports,MES,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,checkpoint,6.301323699997738
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,,11.651425800053403
writing_exports,MES,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,checkpoint,6.433124100090936
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,,11.654495100025088
writing_exports,MES,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,checkpoint,6.551479399902746
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,,12.134910599794239
writing_exports,MES,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,checkpoint,7.133616399951279
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,,12.751405199989676
writing_exports,MES,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,checkpoint,7.084427800029516
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,,11.946455599972978
writing_exports,MES,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,checkpoint,6.775495000183582
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,,11.523806900018826
writing_exports,MES,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,checkpoint,6.773314099991694
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_2,,11.936058399965987
writing_exports,MES,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_2,checkpoint,7.02461970015429
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_3,,11.59527499997057
writing_exports,MES,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_3,checkpoint,7.158219299977645
backtest/evaluation,M2K,invalidate_on_opposite_touch__buffer_1,,221.21972109982744
writing_exports,M2K,invalidate_on_opposite_touch__buffer_1,checkpoint,7.498798999935389
backtest/evaluation,M2K,invalidate_on_opposite_touch__buffer_4,,7.668506399961188
writing_exports,M2K,invalidate_on_opposite_touch__buffer_4,checkpoint,7.328082999913022
backtest/evaluation,M2K,invalidate_on_opposite_close_1m__buffer_1,,7.082207599887624
writing_exports,M2K,invalidate_on_opposite_close_1m__buffer_1,checkpoint,7.318621299928054
backtest/evaluation,M2K,invalidate_on_opposite_close_1m__buffer_4,,7.033658100059256
writing_exports,M2K,invalidate_on_opposite_close_1m__buffer_4,checkpoint,7.470438200049102
backtest/evaluation,M2K,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,,7.257200000109151
writing_exports,M2K,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,checkpoint,7.48538829991594
