trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,holding_minutes,gross_pnl_usd,entry_hour,signal_atr,signal_pullback_depth,signal_ema_spread,mfe_points,mae_points,mfe_usd,mae_usd,mfe_r,mae_r
92,2025-02-07,short,1,2025-02-07 15:05:00-05:00,21581.25,21628.963541666668,21509.6796875,2025-02-07 16:00:00-05:00,21588.5,session_close,50000.0,,,98.42708333333576,98.42708333333576,98.42708333333576,43162.5,0.86325,-7.25,-29.0,-14.5,2.5,-17.0,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-02-07 15:00:00-05:00,11,55.0,-14.5,15.0,39.635416666666664,41.5,-20.26814234446283,28.25,-38.25,56.5,-76.5,0.5740289977775285,-0.7772251031855031
93,2025-02-10,long,1,2025-02-10 13:50:00-05:00,21871.5,21856.660416666666,21893.759375,2025-02-10 14:05:00-05:00,21856.410416666666,stop,50000.0,,,32.67916666666861,32.67916666666861,32.67916666666861,43743.0,0.87486,-15.089583333334303,-60.358333333337214,-30.179166666668607,2.5,-32.67916666666861,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-02-10 13:45:00-05:00,3,15.0,-30.179166666668607,13.0,18.395833333333332,19.25,7.3279490461609385,14.0,-16.5,28.0,-33.0,0.8568149942623488,-1.0098176718091967
94,2025-02-12,long,1,2025-02-12 12:50:00-05:00,21786.25,21751.645833333332,21838.15625,2025-02-12 13:50:00-05:00,21779.75,time_stop,50000.0,,,72.20833333333576,72.20833333333576,72.20833333333576,43572.5,0.87145,-6.5,-26.0,-13.0,2.5,-15.5,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-02-12 12:45:00-05:00,12,60.0,-13.0,12.0,38.541666666666664,43.0,20.85685998641202,42.25,-16.0,84.5,-32.0,1.170225043277514,-0.44316214656663255
95,2025-02-14,long,1,2025-02-14 14:10:00-05:00,22193.75,22177.316145833334,22218.40078125,2025-02-14 14:30:00-05:00,22177.066145833334,stop,50000.0,,,35.86770833333139,35.86770833333139,35.86770833333139,44387.5,0.88775,-16.683854166665697,-66.73541666666279,-33.36770833333139,2.5,-35.86770833333139,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-02-14 14:05:00-05:00,4,20.0,-33.36770833333139,14.0,19.338541666666668,19.5,17.575549384353508,13.0,-20.0,26.0,-40.0,0.7248860105132097,-1.1152092469433996
96,2025-02-19,long,1,2025-02-19 11:45:00-05:00,22237.75,22202.071354166666,22291.26796875,2025-02-19 12:45:00-05:00,22231.75,time_stop,50000.0,,,74.35729166666715,74.35729166666715,74.35729166666715,44475.5,0.88951,-6.0,-24.0,-12.0,2.5,-14.5,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-02-19 11:40:00-05:00,12,60.0,-12.0,11.0,24.286458333333332,19.25,18.533841154108813,15.75,-30.0,31.5,-60.0,0.42363027611615933,-0.8069148116498274
97,2025-02-21,short,1,2025-02-21 12:15:00-05:00,21951.25,22002.3875,21874.543749999997,2025-02-21 12:40:00-05:00,21874.793749999997,target,50000.0,,,105.27500000000146,105.27500000000146,105.27500000000146,43902.5,0.87805,76.45625000000291,305.82500000001164,152.91250000000582,2.5,150.41250000000582,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-02-21 12:10:00-05:00,5,25.0,152.91250000000582,12.0,33.875,38.75,-21.63966983701539,79.5,-5.0,159.0,-10.0,1.5103300878650943,-0.09498931370220719
98,2025-02-24,long,1,2025-02-24 13:45:00-05:00,21646.25,21620.01875,21685.596875000003,2025-02-24 13:55:00-05:00,21619.76875,stop,50000.0,,,55.462500000001455,55.462500000001455,55.462500000001455,43292.5,0.86585,-26.481250000000728,-105.92500000000291,-52.962500000001455,2.5,-55.462500000001455,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-02-24 13:40:00-05:00,2,10.0,-52.962500000001455,13.0,39.8125,37.25,13.38610154682101,9.0,-31.25,18.0,-62.5,0.32454361054765885,-1.1268875366238154
99,2025-03-04,long,1,2025-03-04 12:25:00-05:00,20351.0,20257.964583333334,20490.553125,2025-03-04 13:15:00-05:00,20490.303125,target,50000.0,,,189.0708333333314,189.0708333333314,189.0708333333314,40702.0,0.81404,139.30312499999854,557.2124999999942,278.6062499999971,2.5,276.1062499999971,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-03-04 12:20:00-05:00,10,50.0,278.6062499999971,12.0,77.85416666666667,71.75,32.3886052745911,144.75,-39.0,289.5,-78.0,1.5311721797386497,-0.4125437997223305
100,2025-03-24,long,1,2025-03-24 10:50:00-04:00,20356.25,20309.231770833332,20426.77734375,2025-03-24 11:50:00-04:00,20331.5,time_stop,50000.0,,,97.03645833333576,97.03645833333576,97.03645833333576,40712.5,0.81425,-24.75,-99.0,-49.5,2.5,-52.0,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-03-24 10:45:00-04:00,12,60.0,-49.5,10.0,47.682291666666664,38.25,141.23250848706448,14.75,-27.25,29.5,-54.5,0.3040094466212151,-0.5616445708764821
101,2025-03-24,long,1,2025-03-24 12:05:00-04:00,20362.25,20324.726041666665,20418.535937500004,2025-03-24 12:35:00-04:00,20324.476041666665,stop,50000.0,,,78.04791666667006,78.04791666667006,78.04791666667006,40724.5,0.81449,-37.77395833333503,-151.09583333334012,-75.54791666667006,2.5,-78.04791666667006,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-03-24 12:00:00-04:00,6,30.0,-75.54791666667006,12.0,42.739583333333336,31.5,40.44559967884925,18.25,-38.25,36.5,-76.5,0.46766142594024074,-0.9801670982035182
