session_date,symbol,selected_signal_ts,first_breakout_side,first_upside_touch_ts,first_downside_break_ts,policy_name,strategy_tag,invalidated_for_day,invalidated_at,reclaim_or_low_ts,reclaim_vwap_ts,selected_signal_type,trade_taken,is_reclaim_trade,config_name
2020-09-15,MNQ,2020-09-15 10:01:00-04:00,first_breakout_upside,2020-09-15 10:00:00-04:00,2020-09-15 10:24:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-15 10:24:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-09-16,MNQ,,first_breakout_downside,,2020-09-16 10:19:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-16 10:19:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-09-17,MNQ,2020-09-17 10:05:00-04:00,first_breakout_upside,2020-09-17 10:00:00-04:00,2020-09-17 12:17:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-17 12:17:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-09-21,MNQ,,first_breakout_downside,2020-09-21 12:08:00-04:00,2020-09-21 10:28:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-21 10:28:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-09-22,MNQ,,first_breakout_downside,2020-09-22 13:42:00-04:00,2020-09-22 10:59:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-22 10:59:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-09-23,MNQ,,first_breakout_downside,,2020-09-23 10:05:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-23 10:05:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-09-28,MNQ,,first_breakout_downside,2020-09-28 15:17:00-04:00,2020-09-28 10:07:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-28 10:07:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-09-29,MNQ,2020-09-29 10:11:00-04:00,first_breakout_upside,2020-09-29 10:11:00-04:00,2020-09-29 10:34:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-29 10:34:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-10-01,MNQ,,first_breakout_downside,2020-10-01 13:54:00-04:00,2020-10-01 10:00:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-10-01 10:00:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-10-02,MNQ,2020-10-02 10:01:00-04:00,first_breakout_upside,2020-10-02 10:00:00-04:00,2020-10-02 11:53:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-10-02 11:53:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-10-06,MNQ,2020-10-06 10:09:00-04:00,first_breakout_upside,2020-10-06 10:03:00-04:00,2020-10-06 11:11:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-10-06 11:11:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-10-08,MNQ,,first_breakout_downside,2020-10-08 18:04:00-04:00,2020-10-08 10:03:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-10-08 10:03:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-10-13,MNQ,2020-10-13 11:21:00-04:00,first_breakout_upside,2020-10-13 11:20:00-04:00,2020-10-13 13:57:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-10-13 13:57:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-10-14,MNQ,,first_breakout_downside,,2020-10-14 10:25:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-10-14 10:25:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-10-16,MNQ,2020-10-16 10:00:00-04:00,first_breakout_upside,2020-10-16 10:00:00-04:00,2020-10-16 11:10:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-10-16 11:10:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
