campaign_variant_name,scope,sizing_mode,risk_pct,max_contracts,skip_trade_if_too_small,fixed_contracts,initial_capital_usd,worst_trade_loss_usd,worst_day_pnl_usd,max_daily_drawdown_usd,days_below_minus_500_usd,days_below_minus_1000_usd,trades_loss_gt_250_usd,trades_loss_gt_500_usd,pass_target_3000_usd_without_breaching_2000_dd,days_to_target_3000_usd,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd
risk_pct_0p0075__max_contracts_3__skip_trade_if_too_small_false,full,risk_percent,0.0075,3.0,False,,50000.0,534.0,-534.0,2054.0,1,0,33,1,True,463.0,2054.0,693.3250000000044
risk_pct_0p0075__max_contracts_3__skip_trade_if_too_small_false,oos,risk_percent,0.0075,3.0,False,,50000.0,432.0,-435.0,1789.0,0,0,15,0,True,191.0,1789.0,929.5500000000175
risk_pct_0p0075__max_contracts_5__skip_trade_if_too_small_true,full,risk_percent,0.0075,5.0,True,,50000.0,648.0,-725.0,2915.5,15,0,75,14,True,408.0,2915.5,957.5000000000073
risk_pct_0p0075__max_contracts_5__skip_trade_if_too_small_true,oos,risk_percent,0.0075,5.0,True,,50000.0,468.0,-496.0,2099.5,0,0,29,0,False,150.0,2099.5,1948.6750000000247
risk_pct_0p0075__max_contracts_5__skip_trade_if_too_small_false,full,risk_percent,0.0075,5.0,False,,50000.0,648.0,-725.0,2915.5,15,0,75,14,True,408.0,2915.5,957.5000000000073
risk_pct_0p0075__max_contracts_5__skip_trade_if_too_small_false,oos,risk_percent,0.0075,5.0,False,,50000.0,468.0,-496.0,2099.5,0,0,29,0,False,150.0,2099.5,1948.6750000000247
risk_pct_0p0075__max_contracts_10__skip_trade_if_too_small_true,full,risk_percent,0.0075,10.0,True,,50000.0,936.0,-992.0,4705.0,49,0,129,49,True,327.0,4705.0,638.2499999999854
risk_pct_0p0075__max_contracts_10__skip_trade_if_too_small_true,oos,risk_percent,0.0075,10.0,True,,50000.0,553.5,-648.5,3177.5,7,0,46,6,False,141.0,3177.5,2710.4250000000393
risk_pct_0p0075__max_contracts_10__skip_trade_if_too_small_false,full,risk_percent,0.0075,10.0,False,,50000.0,936.0,-992.0,4705.0,49,0,129,49,True,327.0,4705.0,638.2499999999854
risk_pct_0p0075__max_contracts_10__skip_trade_if_too_small_false,oos,risk_percent,0.0075,10.0,False,,50000.0,553.5,-648.5,3177.5,7,0,46,6,False,141.0,3177.5,2710.4250000000393
risk_pct_0p0075__max_contracts_15__skip_trade_if_too_small_true,full,risk_percent,0.0075,15.0,True,,50000.0,1182.5,-1373.5,6472.0,79,16,156,78,False,236.0,6472.0,525.0
risk_pct_0p0075__max_contracts_15__skip_trade_if_too_small_true,oos,risk_percent,0.0075,15.0,True,,50000.0,615.0,-740.0,3702.0,15,0,54,15,False,141.0,3702.0,3065.175000000054
risk_pct_0p0075__max_contracts_15__skip_trade_if_too_small_false,full,risk_percent,0.0075,15.0,False,,50000.0,1182.5,-1373.5,6472.0,79,16,156,78,False,236.0,6472.0,525.0
risk_pct_0p0075__max_contracts_15__skip_trade_if_too_small_false,oos,risk_percent,0.0075,15.0,False,,50000.0,615.0,-740.0,3702.0,15,0,54,15,False,141.0,3702.0,3065.175000000054
risk_pct_0p0100__max_contracts_3__skip_trade_if_too_small_true,full,risk_percent,0.01,3.0,True,,50000.0,624.0,-624.0,2370.0,4,0,34,4,True,483.0,2370.0,831.8250000000044
risk_pct_0p0100__max_contracts_3__skip_trade_if_too_small_true,oos,risk_percent,0.01,3.0,True,,50000.0,534.0,-534.0,1967.0,1,0,15,1,True,191.0,1967.0,929.5500000000175
risk_pct_0p0100__max_contracts_3__skip_trade_if_too_small_false,full,risk_percent,0.01,3.0,False,,50000.0,624.0,-624.0,2370.0,4,0,34,4,True,483.0,2370.0,831.8250000000044
risk_pct_0p0100__max_contracts_3__skip_trade_if_too_small_false,oos,risk_percent,0.01,3.0,False,,50000.0,534.0,-534.0,1967.0,1,0,15,1,True,191.0,1967.0,929.5500000000175
risk_pct_0p0100__max_contracts_5__skip_trade_if_too_small_true,full,risk_percent,0.01,5.0,True,,50000.0,832.0,-832.0,3369.0,24,0,76,23,True,408.0,3369.0,1109.3750000000073
risk_pct_0p0100__max_contracts_5__skip_trade_if_too_small_true,oos,risk_percent,0.01,5.0,True,,50000.0,624.0,-624.0,2788.0,12,0,30,11,False,150.0,2788.0,1747.9750000000276
risk_pct_0p0100__max_contracts_5__skip_trade_if_too_small_false,full,risk_percent,0.01,5.0,False,,50000.0,832.0,-832.0,3369.0,24,0,76,23,True,408.0,3369.0,1109.3750000000073
risk_pct_0p0100__max_contracts_5__skip_trade_if_too_small_false,oos,risk_percent,0.01,5.0,False,,50000.0,624.0,-624.0,2788.0,12,0,30,11,False,150.0,2788.0,1747.9750000000276
risk_pct_0p0100__max_contracts_10__skip_trade_if_too_small_true,full,risk_percent,0.01,10.0,True,,50000.0,1296.0,-1335.5,5754.0,67,13,129,68,False,340.0,5754.0,1432.2500000000146
risk_pct_0p0100__max_contracts_10__skip_trade_if_too_small_true,oos,risk_percent,0.01,10.0,True,,50000.0,752.5,-763.0,3868.0,22,0,47,22,False,141.0,3868.0,3069.7500000000437
risk_pct_0p0100__max_contracts_10__skip_trade_if_too_small_false,full,risk_percent,0.01,10.0,False,,50000.0,1296.0,-1335.5,5754.0,67,13,129,68,False,340.0,5754.0,1432.2500000000146
risk_pct_0p0100__max_contracts_10__skip_trade_if_too_small_false,oos,risk_percent,0.01,10.0,False,,50000.0,752.5,-763.0,3868.0,22,0,47,22,False,141.0,3868.0,3069.7500000000437
risk_pct_0p0100__max_contracts_15__skip_trade_if_too_small_true,full,risk_percent,0.01,15.0,True,,50000.0,1664.0,-1717.0,7961.0,100,35,158,100,False,282.0,7961.0,677.3749999999782
risk_pct_0p0100__max_contracts_15__skip_trade_if_too_small_true,oos,risk_percent,0.01,15.0,True,,50000.0,861.0,-915.5,4930.0,33,0,55,32,False,141.0,4930.0,3797.000000000058
risk_pct_0p0100__max_contracts_15__skip_trade_if_too_small_false,full,risk_percent,0.01,15.0,False,,50000.0,1664.0,-1717.0,7961.0,100,35,158,100,False,282.0,7961.0,677.3749999999782
risk_pct_0p0100__max_contracts_15__skip_trade_if_too_small_false,oos,risk_percent,0.01,15.0,False,,50000.0,861.0,-915.5,4930.0,33,0,55,32,False,141.0,4930.0,3797.000000000058
