session_date,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2019-07-19,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-22,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-23,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-24,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-25,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-26,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-29,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-30,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-31,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-08-01,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-08-02,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50033.0, ""last_daily_pnl"": 238.0, ""peak_equity"": 50345.0, ""traded"": true}"
2019-08-05,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50033.0, ""last_daily_pnl"": 238.0, ""peak_equity"": 50345.0, ""traded"": true}","{""equity"": 50033.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-08-06,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 50033.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49285.0, ""last_daily_pnl"": -748.0, ""peak_equity"": 50345.0, ""traded"": true}"
2019-08-07,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 49285.0, ""last_daily_pnl"": -748.0, ""peak_equity"": 50345.0, ""traded"": true}","{""equity"": 50077.0, ""last_daily_pnl"": 792.0, ""peak_equity"": 50345.0, ""traded"": true}"
2019-08-08,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50077.0, ""last_daily_pnl"": 792.0, ""peak_equity"": 50345.0, ""traded"": true}","{""equity"": 50077.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-08-09,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50077.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50077.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-08-12,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50077.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50077.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-08-13,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 50077.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 50003.5, ""last_daily_pnl"": -73.5, ""peak_equity"": 50345.0, ""traded"": true}"
2019-08-14,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 50003.5, ""last_daily_pnl"": -73.5, ""peak_equity"": 50345.0, ""traded"": true}","{""equity"": 51410.5, ""last_daily_pnl"": 1407.0, ""peak_equity"": 51410.5, ""traded"": true}"
2019-08-15,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51410.5, ""last_daily_pnl"": 1407.0, ""peak_equity"": 51410.5, ""traded"": true}","{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-08-16,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-08-19,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-08-20,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-08-21,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-08-22,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-08-23,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,1.0,normal_risk,True,"{""equity"": 51410.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 50660.5, ""last_daily_pnl"": -750.0, ""peak_equity"": 51410.5, ""traded"": true}"
2019-08-26,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50660.5, ""last_daily_pnl"": -750.0, ""peak_equity"": 51410.5, ""traded"": true}","{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-08-27,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-08-28,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-08-29,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-08-30,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
2019-09-02,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}","{""equity"": 50660.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 51410.5, ""traded"": false}"
