session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,equity,peak_equity,drawdown_usd,drawdown_pct,green_day,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2022-10-19,-236.0,-233.5,2.5,1.0,1.0,51510.5,55936.5,-4426.0,0.07912543687931851,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51746.5, ""last_daily_pnl"": 147.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51510.5, ""last_daily_pnl"": -236.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-20,-301.5,-299.0,2.5,1.0,1.0,51209.0,55936.5,-4727.5,0.08451547737166251,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51510.5, ""last_daily_pnl"": -236.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51209.0, ""last_daily_pnl"": -301.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-21,0.0,0.0,0.0,0.0,0.0,51209.0,55936.5,-4727.5,0.08451547737166251,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51209.0, ""last_daily_pnl"": -301.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51209.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-10-24,0.0,0.0,0.0,0.0,0.0,51209.0,55936.5,-4727.5,0.08451547737166251,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51209.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 51209.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-10-25,-316.5,-314.0,2.5,1.0,1.0,50892.5,55936.5,-5044.0,0.09017367908253109,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51209.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 50892.5, ""last_daily_pnl"": -316.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-26,-222.5,-220.0,2.5,1.0,1.0,50670.0,55936.5,-5266.5,0.09415140382397898,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50892.5, ""last_daily_pnl"": -316.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50670.0, ""last_daily_pnl"": -222.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-27,0.0,0.0,0.0,0.0,0.0,50670.0,55936.5,-5266.5,0.09415140382397898,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,False,"{""equity"": 50670.0, ""last_daily_pnl"": -222.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50670.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-10-28,435.0,437.5,2.5,1.0,0.0,51105.0,55936.5,-4831.5,0.08637472848676625,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50670.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 51105.0, ""last_daily_pnl"": 435.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-31,-73.0,-70.5,2.5,1.0,1.0,51032.0,55936.5,-4904.5,0.08767977975025251,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51105.0, ""last_daily_pnl"": 435.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51032.0, ""last_daily_pnl"": -73.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-01,296.0,298.5,2.5,1.0,0.0,51328.0,55936.5,-4608.5,0.0823880650380342,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51032.0, ""last_daily_pnl"": -73.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51328.0, ""last_daily_pnl"": 296.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-02,-307.0,-302.0,5.0,1.0,1.0,51021.0,55936.5,-4915.5,0.08787643131050388,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51328.0, ""last_daily_pnl"": 296.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51021.0, ""last_daily_pnl"": -307.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-03,-257.0,-254.5,2.5,1.0,1.0,50764.0,55936.5,-5172.5,0.0924709268545583,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51021.0, ""last_daily_pnl"": -307.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50764.0, ""last_daily_pnl"": -257.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-04,0.0,0.0,0.0,0.0,0.0,50764.0,55936.5,-5172.5,0.0924709268545583,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,False,"{""equity"": 50764.0, ""last_daily_pnl"": -257.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50764.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
