q_low_pct,q_high_pct,atr_count,median_overall_composite_score,mean_overall_composite_score,median_overall_sharpe,mean_overall_sharpe,median_overall_profit_factor,mean_overall_profit_factor,median_overall_net_pnl,mean_overall_net_pnl,median_overall_max_drawdown_abs,mean_overall_max_drawdown_abs,best_atr_by_score,best_overall_composite_score
24,76,7,-4.522797643890545,-4.531218286419341,-0.5468213365850827,-0.5673930161608643,0.8597264689848625,0.8560087020005366,-32548.999999985535,-33936.78571427107,40585.49999998837,45390.357142845096,30,-4.2587643820723295
24,77,7,-4.485253796007834,-4.461127269844359,-0.52740938464967,-0.5369677802664576,0.8659141573641488,0.86444127891114,-31758.499999985128,-32430.071428556545,39615.99999998835,44262.35714284506,30,-4.121323020483184
24,78,7,-4.453915610045649,-4.454877716187711,-0.5364377714064974,-0.5420994628010337,0.8653821229533539,0.8645048905782492,-32717.99999998503,-33066.14285712774,44869.49999998764,45395.85714284505,26,-4.0644923221742495
24,79,7,-4.388834768995553,-4.367161530730686,-0.5154977116227475,-0.5100001181082313,0.8721972959379518,0.8735119270879632,-31888.499999984422,-31500.999999984593,45447.999999987485,44730.14285713055,40,-4.028339348125039
24,80,7,-4.361190443149802,-4.381862952036654,-0.4980249892037571,-0.5255653460236089,0.8781407205521984,0.8714150268219918,-31454.499999984302,-32894.214285698654,47091.4999999874,47185.35714284431,40,-4.023363977913638
24,81,7,-4.351129657034995,-4.382190510883426,-0.5123374511539237,-0.5375063159956316,0.8757748815392353,0.8701081256126617,-32573.99999998411,-33998.928571412696,47460.49999998727,48866.35714284376,40,-4.080523043586962
24,82,7,-4.327814754749695,-4.352078250423721,-0.5072124955646532,-0.5249778201976704,0.8779170837065292,0.8741001008330102,-32444.999999983913,-33573.64285712679,47562.499999987194,48827.78571427225,30,-4.152823124953361
24,83,7,-4.350817746592581,-4.318963398860628,-0.5290234765459937,-0.5157472123551102,0.8745175445033634,0.8774632715676721,-34201.99999998373,-33386.714285697984,47200.99999998733,49348.99999998628,30,-4.0943938782397975
24,84,7,-4.191721696672528,-4.177899231863354,-0.4830844737765596,-0.4625166347817404,0.885748173005006,0.8905036900854384,-31595.999999983193,-30309.92857141204,47863.49999998702,48229.85714284358,30,-3.833884138471272
24,85,7,-4.089045333780589,-4.100409378827427,-0.44189036219325134,-0.4377132860051664,0.896635572717614,0.8972208034128532,-29458.499999983273,-29037.49999998316,47861.49999998689,48327.14285712953,26,-3.8846216975185976
24,86,7,-4.117368095169468,-4.0563347919334065,-0.42909051076411814,-0.4277380666632383,0.9000507921488409,0.9004440244567313,-28729.999999983047,-28635.357142840014,49084.999999986714,49232.49999998651,30,-3.8025504233454184
