variant_name,session_date,signal_time,signal_index,state_pre,state_post,policy_multiplier,allowed_to_trade,blocked_reason,trade_executed,quantity,trade_number_in_day,exit_reason,overlay_exit_reason,net_pnl_usd,net_pnl_r
giveback_after_1p25r__0p5r,2022-05-05,2022-05-05 10:01:00-04:00,601,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,486.76,1.2238145522200432
giveback_after_1p25r__0p5r,2022-05-11,2022-05-11 12:56:00-04:00,776,neutral,neutral,1.0,True,,True,1,1,time_exit,,320.26,0.47464208435841954
giveback_after_1p25r__0p5r,2022-05-17,2022-05-17 10:09:00-04:00,609,neutral,neutral,1.0,True,,True,1,1,stop,,-211.74,-1.0
giveback_after_1p25r__0p5r,2022-05-18,2022-05-18 10:34:00-04:00,634,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,204.76,0.8874057380601542
giveback_after_1p25r__0p5r,2022-05-24,2022-05-24 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,time_exit,,-255.74,-0.689809570049091
giveback_after_1p25r__0p5r,2022-05-25,2022-05-25 10:26:00-04:00,626,neutral,neutral,1.0,True,,True,1,1,time_exit,,169.76,0.5463088112248181
giveback_after_1p25r__0p5r,2022-05-26,2022-05-26 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,time_exit,,286.76,0.6170331798424925
giveback_after_1p25r__0p5r,2022-05-27,2022-05-27 10:02:00-04:00,602,neutral,neutral,1.0,True,,True,1,1,time_exit,,288.76,1.0785090012698886
giveback_after_1p25r__0p5r,2022-06-03,2022-06-03 10:36:00-04:00,636,neutral,neutral,1.0,True,,True,1,1,time_exit,,85.76,0.33999365683476057
giveback_after_1p25r__0p5r,2022-06-06,2022-06-06 10:03:00-04:00,603,neutral,neutral,1.0,True,,True,1,1,stop,,-244.74,-1.0
giveback_after_1p25r__0p5r,2022-06-07,2022-06-07 10:28:00-04:00,628,neutral,neutral,1.0,True,,True,1,1,time_exit,,205.76,0.5743635551585529
giveback_after_1p25r__0p5r,2022-06-08,2022-06-08 12:39:00-04:00,759,neutral,neutral,1.0,True,,True,1,1,time_exit,,33.26,0.10500726147628969
giveback_after_1p25r__0p5r,2022-06-09,2022-06-09 10:30:00-04:00,630,neutral,neutral,1.0,True,,True,1,1,stop,,-308.74,-1.0
giveback_after_1p25r__0p5r,2022-06-14,2022-06-14 10:42:00-04:00,642,neutral,neutral,1.0,True,,True,1,1,stop,,-332.24,-1.0
giveback_after_1p25r__0p5r,2022-06-15,2022-06-15 10:06:00-04:00,606,neutral,neutral,1.0,True,,True,1,1,stop,,-186.24,-1.0
giveback_after_1p25r__0p5r,2022-06-21,2022-06-21 10:03:00-04:00,603,neutral,neutral,1.0,True,,True,1,1,time_exit,,-122.24,-0.37354846595770685
giveback_after_1p25r__0p5r,2022-06-22,2022-06-22 10:13:00-04:00,613,neutral,neutral,1.0,True,,True,1,1,time_exit,,-122.24,-0.34313945654614864
giveback_after_1p25r__0p5r,2022-06-23,2022-06-23 10:40:00-04:00,640,neutral,neutral,1.0,True,,True,1,1,time_exit,,8.76,0.025596072931276297
giveback_after_1p25r__0p5r,2022-06-24,2022-06-24 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,time_exit,,243.26,0.7321815555020467
giveback_after_1p25r__0p5r,2022-06-27,2022-06-27 15:04:00-04:00,904,neutral,neutral,1.0,True,,True,1,1,time_exit,,-64.24,-0.16398631745545514
giveback_after_1p25r__0p5r,2022-06-28,2022-06-28 10:06:00-04:00,606,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,396.26,1.3892160987238815
