config_name,symbol,bucket,trade_count,net_pnl,avg_trade,win_rate
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,MGC,trade_without_prior_downside_breakout,484,-1292.4999999976058,-2.6704545454495987,0.43388429752066116
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,MNQ,reclaim_trade,431,-3137.5,-7.279582366589327,0.4385150812064965
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,MNQ,trade_without_prior_downside_breakout,684,18481.5,27.019736842105264,0.4766081871345029
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,M2K,reclaim_trade,416,-2798.499999998974,-6.727163461535995,0.43509615384615385
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,M2K,trade_without_prior_downside_breakout,789,-5364.999999998001,-6.799746514572878,0.45754119138149557
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,MES,reclaim_trade,569,-11895.0,-20.905096660808436,0.39015817223198596
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,MES,trade_without_prior_downside_breakout,782,5120.0,6.547314578005115,0.4360613810741688
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,MGC,reclaim_trade,347,-9893.49999999822,-28.511527377516483,0.36023054755043227
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,MGC,trade_without_prior_downside_breakout,484,-1292.4999999976058,-2.6704545454495987,0.43388429752066116
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,MNQ,reclaim_trade,431,-3158.5,-7.32830626450116,0.4385150812064965
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,MNQ,trade_without_prior_downside_breakout,684,18481.5,27.019736842105264,0.4766081871345029
allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,M2K,reclaim_trade,412,-2617.499999998986,-6.353155339803364,0.4368932038834951
allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,M2K,trade_without_prior_downside_breakout,793,-5545.999999997989,-6.993694829757867,0.45649432534678436
allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,MES,reclaim_trade,561,-11901.25,-21.214349376114082,0.38859180035650626
allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,MES,trade_without_prior_downside_breakout,790,4656.25,5.893987341772152,0.43544303797468353
allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,MGC,reclaim_trade,341,-8821.499999998427,-25.869501466271046,0.36070381231671556
allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,MGC,trade_without_prior_downside_breakout,500,-2987.9999999974507,-5.975999999994901,0.432
allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,MNQ,reclaim_trade,430,-3074.5,-7.15,0.43953488372093025
