method,weight_variant_name,variant_name,scope,calibration_scope,nominal_orb_weight,nominal_pullback_weight,effective_orb_weight,effective_pullback_weight,orb_scale,pullback_scale,start_date,end_date,n_days,net_profit_usd,return_pct,cagr_pct,sharpe,sortino,profit_factor_daily,max_drawdown_usd,max_drawdown_pct,max_daily_drawdown_usd,calmar,days_traded,orb_pullback_daily_corr,return_over_drawdown,positive_month_rate,stability_score,composite_score
static,orb75_pull25,static__orb75_pull25,is,is,0.75,0.25,0.75,0.25,1.0,1.0,2019-05-06,2024-02-22,1222,9710.2660464109,19.420532092821798,3.764978704523325,1.5710669459234397,1.2927313196453547,1.5639915659100394,1280.7471735243016,2.1695817463911804,199.28847490247426,1.7353477050523134,404,-0.035972007879149115,7.581719676718577,0.6379310344827587,0.7104864299218203,1.9206119561158073
inverse_risk,orb67_pull33,inverse_risk__orb67_pull33,is,is,0.67,0.33,0.7848768293528726,0.21512317064712733,1.0,1.0,2019-05-06,2024-02-22,1222,8976.183750108903,17.952367500217807,3.4980278358690775,1.4589301717487544,1.1563264246739797,1.5168167140181474,1375.3776597716496,2.3526006381779485,205.9837889315313,1.4868770241337026,404,-0.035972007879149115,6.526341100813863,0.6206896551724138,0.6927147956773094,1.7901719112945451
risk_scaled,orb67_pull33,risk_scaled__orb67_pull33,is,is,0.67,0.33,0.67,0.33,1.398511126770408,0.7782380680121297,2019-05-06,2024-02-22,1222,10875.05833946111,21.75011667892222,4.183273889547912,1.4589301717487544,1.1563264246739797,1.5157017755953364,1689.7970863030569,2.8048574688632977,253.8419403942171,1.491439025328882,404,-0.035972007879149115,6.435718482183914,0.6206896551724138,0.670101954143042,1.7413017982923527
static,orb80_pull20,static__orb80_pull20,is,is,0.8,0.2,0.8,0.2,1.0,1.0,2019-05-06,2024-02-22,1222,8660.336554870431,17.320673109740863,3.382359148026892,1.4073663344193865,1.0999209429750079,1.4967873489655155,1415.7537090307233,2.4318866270186312,208.8247766233835,1.3908375129203665,404,-0.035972007879149115,6.117120866170723,0.6206896551724138,0.6887504962352753,1.7316048473448495
inverse_risk,orb75_pull25,inverse_risk__orb75_pull25,is,is,0.75,0.25,0.8435315984866026,0.15646840151339722,1.0,1.0,2019-05-06,2024-02-22,1222,7759.430020220505,15.51886004044101,3.049700294059088,1.2517574160444445,0.9485468332693807,1.4398698960678067,1529.7819984229354,2.6598591031251284,216.79563984938432,1.1465646020407345,404,-0.035972007879149115,5.0722456063803625,0.6206896551724138,0.6773518724299505,1.5532253793933384
risk_scaled,orb75_pull25,risk_scaled__orb75_pull25,is,is,0.75,0.25,0.75,0.25,1.398511126770408,0.7782380680121297,2019-05-06,2024-02-22,1222,9798.628661171795,19.59725732234359,3.7969364923838844,1.251757416044445,0.9485468332693812,1.4384794916823864,1963.3860624966837,3.3005187607584086,279.1090387962322,1.1504059717907518,404,-0.035972007879149115,4.990678526418614,0.6206896551724138,0.6453188895482864,1.486927246574508
inverse_risk,orb80_pull20,inverse_risk__orb80_pull20,is,is,0.8,0.2,0.8778713814334137,0.1221286185665862,1.0,1.0,2019-05-06,2024-02-22,1222,7057.323691096404,14.114647382192807,2.787587940383518,1.12452294852408,0.8379770844975566,1.396277856432561,1617.4636246703449,2.839432959015009,222.87014607233868,0.981741066128402,404,-0.035972007879149115,4.363203959244992,0.603448275862069,0.659752489980284,1.4003219882882756
risk_scaled,orb80_pull20,risk_scaled__orb80_pull20,is,is,0.8,0.2,0.8,0.2,1.398511126770408,0.7782380680121297,2019-05-06,2024-02-22,1222,9132.745948393916,18.265491896787832,3.555181887507053,1.1245229485240802,0.8379770844975568,1.3947110733590953,2130.0868185228755,3.609349900779457,294.3894730208267,0.9849923075452711,404,-0.035972007879149115,4.287499396257983,0.603448275862069,0.6212566428920616,1.3229769417313486
baseline,orb100_pull00,baseline__orb_standalone,is,is,1.0,0.0,1.0,0.0,1.0,1.0,2019-05-06,2024-02-22,1222,4620.499999999971,9.240999999999943,1.857583007118957,0.6816618549393832,0.33904245335593636,1.248768406600801,1913.5,3.4762151311188094,248.99999999999272,0.534369403806461,404,-0.035972007879149115,2.4146851319571314,0.5,0.5761892434440595,0.7795287547143628
baseline,benchmark,baseline__benchmark,is,is,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-06,2024-02-22,1222,66545.60129136387,133.09120258272773,19.270480683673274,0.8244121349908794,0.7999944424349379,1.1320949994552785,37727.199354318014,35.22372763853938,5031.476997578677,0.5470880561371602,404,-0.035972007879149115,1.7638627417422514,0.6206896551724138,0.3103448275862069,0.3941376398128383
