symbol,fold_id,config_id,family,cluster_id,filter_name,stop_multiplier,target_multiplier,entry_delay_minutes,variant_time_stop_bars,stop_zone_fraction,adverse_window_minutes,max_adverse_ticks,train_trades,train_net_pnl,train_gross_profit,train_gross_loss,train_profit_factor,train_win_rate,train_avg_trade,train_median_trade,train_max_drawdown,train_max_daily_drawdown,train_pnl_to_maxdd,train_skip_rate,train_avg_holding_minutes,positive_years_train,years_with_trades_train,max_year_contribution_pct_train,normalized_net_pnl,normalized_profit_factor,normalized_pnl_to_maxdd,trade_count_score,cluster_positive_ratio_train,temporal_stability_train,penalties,train_robust_score,rank_train,selected_in_fold
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d15_ts3_sz0p50,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.0,2.0,15,3,0.5,,,47,-254.39999999995393,777.100000000014,1031.499999999968,0.7533688802714863,0.2978723404255319,-5.412765957445829,-15.499999999998408,-521.9999999999663,-94.49999999999818,-0.4873563218390236,0.5152542372881356,96.2127659574468,1,6,0.34327254805325214,0.47138035942872536,0.37964209030947477,0.15863840935674006,1.0,0.046875,0.41169705930670725,0.3,0.0863550782185934,114,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d5_ts4_sz0p50,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,0.75,2.0,5,4,0.5,,,75,-382.34999999993533,1007.4000000000137,1389.749999999949,0.7248785752833607,0.2,-5.097999999999137,-16.124999999999545,-740.4249999999547,-67.12499999999864,-0.5163926123509589,0.5457627118644067,75.12,2,6,0.23416015098408852,0.38629449219460255,0.3628489414469028,0.14934141087273323,1.0,0.046875,0.5495865911746224,0.3,0.08101386164513452,115,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p25_tm2p00_d15_ts3_sz0p50,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.25,2.0,15,3,0.5,,,70,-403.9999999999259,1361.7500000000234,1765.7499999999493,0.7712020387937492,0.32857142857142857,-5.771428571427513,-18.624999999999545,-916.8749999999432,-121.74999999999841,-0.44062713019762884,0.43728813559322033,104.17142857142858,2,6,0.3179330273670045,0.37189739156452656,0.3901535567847906,0.17360041780166643,1.0,0.046875,0.5077001529831644,0.3,0.08023139486581438,116,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d5_ts3_sz0p50,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.0,2.5,5,3,0.5,,,103,-460.9374999999068,1869.0625000000296,2329.9999999999363,0.8021727467811505,0.2912621359223301,-4.4751213592223955,-17.499999999998863,-873.9999999999361,-125.49999999999955,-0.5273884439358587,0.45084745762711864,86.8252427184466,2,6,0.23274105662164749,0.33403434689362427,0.40840873902409786,0.1458207053083228,1.0,0.046875,0.5502961383558429,0.3,0.07663911107785054,117,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d5_ts3_sz0p75,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.0,2.5,5,3,0.75,,,150,-510.31249999986926,2873.1875000000414,3383.4999999999104,0.8491761489582141,0.30666666666666664,-3.402083333332462,-17.24999999999909,-1239.8749999999097,-125.49999999999955,-0.41158382901494617,0.29152542372881357,85.77333333333333,2,6,0.2907909939730748,0.30120031254675256,0.43611413319715975,0.18289966100062002,1.0,0.046875,0.5212711696801292,0.3,0.07517977937823245,118,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p25_tm2p00_d5_ts3_sz1p00,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.25,2.0,5,3,1.0,,,199,-508.6249999998324,4259.5000000000455,4768.124999999878,0.8933280901822319,0.31155778894472363,-2.5559045226122232,-17.99999999999841,-1164.3499999998676,-156.12499999999955,-0.4368317086785677,0.12542372881355932,85.50753768844221,2,6,0.3758860170401569,0.3023224884042026,0.46213877989207885,0.17481565664542903,1.0,0.046875,0.47872365814658824,0.3,0.07307052529826902,119,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d5_ts3_sz1p00,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.0,2.0,5,3,1.0,,,183,-534.8499999998478,3567.150000000041,4101.999999999889,0.8696123842028615,0.29508196721311475,-2.9226775956275834,-16.999999999999318,-1283.0999999998971,-125.49999999999955,-0.41684202322491676,0.17966101694915254,78.5846994535519,2,6,0.2995129280054204,0.284883044338423,0.44815994108854385,0.181216063587286,1.0,0.046875,0.5169102026639565,0.3,0.07260293924000089,120,False
M2K,fold_5,m2k_1h_none_baseline_none_sm0p75_tm2p00_d30_ts3,none_baseline,m2k_1h_none_local,none,0.75,2.0,30,3,,,,188,-438.17499999985785,3204.950000000049,3643.124999999907,0.8797255103791747,0.28191489361702127,-2.330718085105627,-14.0625,-629.7499999999184,-147.37499999999955,-0.6957919809446839,0.0,82.21808510638297,1,6,0.33475089494793364,0.34917125234826407,0.4541209595267664,0.0919003387370874,1.0,0.1111111111111111,0.4159578858593665,0.3,0.07096240534855408,121,False
M2K,fold_5,m2k_1h_none_baseline_none_sm0p75_tm2p50_d5_ts3,none_baseline,m2k_1h_none_local,none,0.75,2.5,5,3,,,,236,-550.6874999998149,3413.062500000044,3963.749999999859,0.861069063386986,0.2033898305084746,-2.333421610168707,-11.999999999999318,-809.7499999998661,-94.87499999999955,-0.6800710095707391,0.0,56.41949152542373,3,6,0.4208464996216807,0.2743512161061618,0.44312421899636184,0.09693396543160618,1.0,0.1111111111111111,0.5395767501891596,0.3,0.06935592183559441,122,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p50_d5_ts3_sz1p00,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,0.75,2.5,5,3,1.0,,,150,-522.4374999998781,2387.1875000000346,2909.6249999999122,0.8204450745371333,0.24666666666666667,-3.482916666665854,-16.31249999999909,-1078.3124999999063,-94.87499999999955,-0.4844954500665841,0.29152542372881357,68.52,2,6,0.32242396206776486,0.2931372712007999,0.41917906669169624,0.15955441894551226,1.0,0.046875,0.5054546856327842,0.3,0.06390274682528368,123,False
